# To display the perf.data header info, please use --header/--header-only options.
#
# Samples: 2K of event 'cycles'
# Event count (approx.): 6199007
#
# Overhead  Command  Shared Object      Symbol                                 
# ........  .......  .................  .......................................
#
     0.04%  lua      [kernel.kallsyms]  [k] __rcu_process_callbacks            
     0.04%  lua      [kernel.kallsyms]  [k] __slab_free.isra.75                
     0.04%  lua      [kernel.kallsyms]  [k] __strncpy_from_kernel_asm          
     0.04%  lua      [kernel.kallsyms]  [k] __strncpy_from_kernel_nocheck_asm  
     0.04%  lua      [kernel.kallsyms]  [k] __task_pid_nr_ns                   
     0.04%  lua      [kernel.kallsyms]  [k] _cond_resched                      
     0.04%  lua      [kernel.kallsyms]  [k] account                            
     0.04%  lua      [kernel.kallsyms]  [k] anon_vma_interval_tree_insert      
     0.04%  lua      [kernel.kallsyms]  [k] arch_get_unmapped_area_topdown     
     0.04%  lua      [kernel.kallsyms]  [k] arch_randomize_brk                 
     0.04%  lua      [kernel.kallsyms]  [k] arch_setup_additional_pages        
     0.04%  lua      [kernel.kallsyms]  [k] call_rcu_sched                     
     0.04%  lua      [kernel.kallsyms]  [k] commit_creds                       
     0.04%  lua      [kernel.kallsyms]  [k] complete_walk                      
     0.04%  lua      [kernel.kallsyms]  [k] copy_user_highpage                 
     0.04%  lua      [kernel.kallsyms]  [k] d_find_any_alias                   
     0.04%  lua      [kernel.kallsyms]  [k] dentry_free                        
     0.04%  lua      [kernel.kallsyms]  [k] dev_get_stats                      
     0.04%  lua      [kernel.kallsyms]  [k] do_brk                             
     0.04%  lua      [kernel.kallsyms]  [k] do_close_on_exec                   
     0.04%  lua      [kernel.kallsyms]  [k] do_filp_open                       
     0.04%  lua      [kernel.kallsyms]  [k] dput                               
     0.04%  lua      [kernel.kallsyms]  [k] evict                              
     0.04%  lua      [kernel.kallsyms]  [k] expand_downwards                   
     0.04%  lua      [kernel.kallsyms]  [k] file_ra_state_init                 
     0.04%  lua      [kernel.kallsyms]  [k] filename_lookup.isra.52            
     0.04%  lua      [kernel.kallsyms]  [k] find_mergeable_anon_vma            
     0.04%  lua      [kernel.kallsyms]  [k] follow_managed                     
     0.04%  lua      [kernel.kallsyms]  [k] free_bprm                          
     0.04%  lua      [kernel.kallsyms]  [k] free_pipe_info                     
     0.04%  lua      [kernel.kallsyms]  [k] fsnotify_clear_marks_by_inode      
     0.04%  lua      [kernel.kallsyms]  [k] generic_permission                 
     0.04%  lua      [kernel.kallsyms]  [k] get_random_bytes                   
     0.04%  lua      [kernel.kallsyms]  [k] get_random_int                     
     0.04%  lua      [kernel.kallsyms]  [k] inode_permission                   
     0.04%  lua      [kernel.kallsyms]  [k] install_exec_creds                 
     0.04%  lua      [kernel.kallsyms]  [k] kfree                              
     0.04%  lua      [kernel.kallsyms]  [k] kmalloc_slab                       
     0.04%  lua      [kernel.kallsyms]  [k] kmem_cache_free                    
     0.04%  lua      [kernel.kallsyms]  [k] lock_timer_base.isra.37            
     0.04%  lua      [kernel.kallsyms]  [k] lockref_get_not_dead               
     0.04%  lua      [kernel.kallsyms]  [k] locks_remove_file                  
     0.04%  lua      [kernel.kallsyms]  [k] lru_cache_add_active_or_unevictable
     0.04%  lua      [kernel.kallsyms]  [k] memset                             
     0.04%  lua      [kernel.kallsyms]  [k] mntget                             
     0.04%  lua      [kernel.kallsyms]  [k] mntput_no_expire                   
     0.04%  lua      [kernel.kallsyms]  [k] move_page_tables                   
     0.04%  lua      [kernel.kallsyms]  [k] netdev_trig_timer                  
     0.04%  lua      [kernel.kallsyms]  [k] new_sync_read                      
     0.04%  lua      [kernel.kallsyms]  [k] o32_syscall_exit                   
     0.04%  lua      [kernel.kallsyms]  [k] ovl_d_select_inode                 
     0.04%  lua      [kernel.kallsyms]  [k] ovl_follow_link                    
     0.04%  lua      [kernel.kallsyms]  [k] ovl_path_real                      
     0.04%  lua      [kernel.kallsyms]  [k] ovl_put_link                       
     0.04%  lua      [kernel.kallsyms]  [k] page_follow_link_light             
