# To display the perf.data header info, please use --header/--header-only options.
#
# Samples: 18K of event 'cycles'
# Event count (approx.): 1004956412
#
# Overhead  Command  Shared Object        Symbol                                    
# ........  .......  ...................  ..........................................
#
     0.05%  python   libpython2.7.so.1.0  [.] set_next                              
     0.05%  python   libc-2.19.so         [.] 0x00072540                            
     0.05%  python   libc-2.19.so         [.] 0x00074128                            
     0.05%  python   libc-2.19.so         [.] 0x0007463c                            
     0.05%  python   libc-2.19.so         [.] 0x000741c8                            
     0.05%  python   libc-2.19.so         [.] 0x0007411c                            
     0.05%  python   libc-2.19.so         [.] 0x00074400                            
     0.05%  python   libc-2.19.so         [.] 0x00074fc8                            
     0.05%  python   libc-2.19.so         [.] 0x00073ea8                            
     0.05%  python   [kernel.kallsyms]    [k] handle_mm_fault                       
     0.05%  python   libc-2.19.so         [.] 0x000743fc                            
     0.05%  python   libc-2.19.so         [.] 0x00073f28                            
     0.05%  python   libpython2.7.so.1.0  [.] untrack_dicts                         
     0.05%  python   libpython2.7.so.1.0  [.] _Py_Attribute                         
     0.04%  python   libc-2.19.so         [.] 0x000731a4                            
     0.04%  python   libc-2.19.so         [.] 0x00072fe8                            
     0.04%  python   libc-2.19.so         [.] 0x00072fec                            
     0.04%  python   libc-2.19.so         [.] 0x00073ef4                            
     0.04%  python   libc-2.19.so         [.] 0x000725a8                            
     0.04%  python   libc-2.19.so         [.] 0x000724d0                            
     0.04%  python   libc-2.19.so         [.] __uflow                               
     0.04%  python   libc-2.19.so         [.] 0x000747d8                            
     0.04%  python   libc-2.19.so         [.] 0x00071678                            
     0.04%  python   libc-2.19.so         [.] 0x00073ee0                            
     0.04%  python   libpython2.7.so.1.0  [.] PyString_InternFromString             
     0.04%  python   libc-2.19.so         [.] 0x00072fe4                            
     0.04%  python   libc-2.19.so         [.] 0x000724dc                            
     0.04%  python   libpython2.7.so.1.0  [.] PyTuple_GetItem                       
     0.04%  python   libc-2.19.so         [.] 0x00072550                            
     0.04%  python   libc-2.19.so         [.] 0x000725b0                            
     0.04%  python   libpython2.7.so.1.0  [.] analyze_child_block                   
     0.04%  python   libpython2.7.so.1.0  [.] all_name_chars                        
     0.04%  python   ld-2.19.so           [.] 0x00008f0c                            
     0.04%  python   libpython2.7.so.1.0  [.] vgetargskeywords                      
     0.04%  python   libc-2.19.so         [.] 0x0007323c                            
     0.04%  python   libpython2.7.so.1.0  [.] PyCapsule_New                         
     0.04%  python   libc-2.19.so         [.] 0x00074144                            
     0.04%  python   libc-2.19.so         [.] 0x00072fcc                            
     0.04%  python   libpython2.7.so.1.0  [.] set_context                           
     0.04%  python   libc-2.19.so         [.] 0x00072ff0                            
     0.04%  python   libc-2.19.so         [.] 0x00072fd4                            
     0.04%  python   libpython2.7.so.1.0  [.] convertsimple                         
     0.04%  python   libpython2.7.so.1.0  [.] int_dealloc                           
     0.04%  python   libc-2.19.so         [.] 0x000731ac                            
     0.04%  python   libc-2.19.so         [.] 0x00074108                            
     0.04%  python   libpython2.7.so.1.0  [.] _Py_Str                               
     0.04%  python   libpython2.7.so.1.0  [.] PyEval_EvalCodeEx                     
     0.04%  python   libpython2.7.so.1.0  [.] assemble_lnotab.isra.12               
     0.04%  python   libc-2.19.so         [.] 0x0007300c                            
     0.04%  python   libpython2.7.so.1.0  [.] update_symbols                        
     0.04%  python   libc-2.19.so         [.] 0x00072580                            
     0.04%  python   libc-2.19.so         [.] 0x00075014                            
     0.04%  python   libc-2.19.so         [.] 0x00074198                            
     0.04%  python   [kernel.kallsyms]    [k] vmacache_find                         
     0.04%  python   libc-2.19.so         [.] 0x00073034                            
     0.04%  python   libc-2.19.so         [.] 0x000731f0                            
     0.04%  python   libc-2.19.so         [.] 0x000735f4                            
     0.04%  python   libc-2.19.so         [.] 0x0007333c                            
     0.04%  python   libc-2.19.so         [.] 0x00072578                            
     0.04%  python   libc-2.19.so         [.] 0x000756bc                            
     0.04%  python   libc-2.19.so         [.] 0x00073e90                            
     0.04%  python   libc-2.19.so         [.] 0x00073f60                            
     0.04%  python   libc-2.19.so         [.] 0x00074fd0                            
     0.04%  python   libpython2.7.so.1.0  [.] assign_version_tag                    
     0.04%  python   [kernel.kallsyms]    [k] __d_lookup_rcu                        
     0.04%  python   libc-2.19.so         [.] 0x00074574                            
     0.04%  python   libc-2.19.so         [.] 0x000747ec                            
     0.04%  python   libc-2.19.so         [.] 0x00073e94                            
     0.04%  python   libc-2.19.so         [.] 0x00073ea0                            
     0.04%  python   libc-2.19.so         [.] 0x00071668                            
     0.04%  python   libc-2.19.so         [.] 0x00075028                            
     0.04%  python   libpython2.7.so.1.0  [.] mro_internal                          
     0.04%  python   libpython2.7.so.1.0  [.] PyDict_GetItemString                  
     0.03%  python   libc-2.19.so         [.] 0x00073f20                            
     0.03%  python   libpython2.7.so.1.0  [.] _PyObject_GC_NewVar                   
     0.03%  python   [kernel.kallsyms]    [k] copy_page                             
     0.03%  python   libc-2.19.so         [.] 0x000740e8                            
     0.03%  python   libc-2.19.so         [.] 0x000740f8                            
     0.03%  python   libc-2.19.so         [.] 0x0007502c                            
     0.03%  python   libc-2.19.so         [.] 0x00073e88                            
     0.03%  python   libpython2.7.so.1.0  [.] compiler_try_except                   
     0.03%  python   [kernel.kallsyms]    [k] generic_file_read_iter                
     0.03%  python   libc-2.19.so         [.] 0x000731ec                            
     0.03%  python   libc-2.19.so         [.] 0x00074738                            
     0.03%  python   libc-2.19.so         [.] 0x00073c14                            
     0.03%  python   libc-2.19.so         [.] 0x00073064                            
     0.03%  python   libpython2.7.so.1.0  [.] PyObject_Init                         
     0.03%  python   libc-2.19.so         [.] 0x000725bc                            
     0.03%  python   libpython2.7.so.1.0  [.] asdl_seq_new                          
     0.03%  python   libpython2.7.so.1.0  [.] list_ass_slice                        
     0.03%  python   libc-2.19.so         [.] 0x00072564                            
     0.03%  python   libpython2.7.so.1.0  [.] int_mul                               
     0.03%  python   libpython2.7.so.1.0  [.] PyFunction_New                        
     0.03%  python   libpython2.7.so.1.0  [.] PyOS_strtoul                          
     0.03%  python   libc-2.19.so         [.] 0x0007302c                            
     0.03%  python   libpython2.7.so.1.0  [.] PyToken_TwoChars                      
     0.03%  python   libc-2.19.so         [.] 0x00074204                            
     0.03%  python   libc-2.19.so         [.] 0x00073e84                            
     0.03%  python   libpython2.7.so.1.0  [.] PyObject_IsTrue                       
     0.03%  python   libpthread-2.19.so   [.] __errno_location                      
     0.03%  python   libc-2.19.so         [.] 0x00073c10                            
     0.03%  python   libc-2.19.so         [.] 0x000742c8                            
     0.03%  python   libc-2.19.so         [.] 0x00073208                            
     0.03%  python   libc-2.19.so         [.] memchr                                
     0.03%  python   libpython2.7.so.1.0  [.] update_one_slot                       
     0.03%  python   libc-2.19.so         [.] 0x000731dc                            
     0.03%  python   libc-2.19.so         [.] 0x00073eac                            
     0.03%  python   libc-2.19.so         [.] 0x000731e8                            
     0.03%  python   libc-2.19.so         [.] 0x00073c18                            
     0.03%  python   libc-2.19.so         [.] 0x000731f4                            
     0.03%  python   libpython2.7.so.1.0  [.] type_call                             
     0.03%  python   libc-2.19.so         [.] 0x00073f30                            
     0.03%  python   libpython2.7.so.1.0  [.] ste_dealloc                           
